"id";"listing_url";"scrape_id";"last_scraped";"name";"picture_url";"host_id";"host_url";"host_since";"host_response_rate";"host_acceptance_rate";"host_is_superhost";"host_listings_count";"host_total_listings_count";"host_verifications";"host_has_profile_pic";"host_identity_verified";"neighbourhood_cleansed";"latitude";"longitude";"property_type";"room_type";"accommodates";"bathrooms_text";"bedrooms";"beds";"amenities";"price";"minimum_nights";"maximum_nights";"minimum_minimum_nights";"maximum_minimum_nights";"minimum_maximum_nights";"maximum_maximum_nights";"minimum_nights_avg_ntm";"maximum_nights_avg_ntm";"has_availability";"availability_30";"availability_60";"availability_90";"availability_365";"calendar_last_scraped";"number_of_reviews";"number_of_reviews_ltm";"number_of_reviews_l30d";"first_review";"last_review";"review_scores_rating";"review_scores_accuracy";"review_scores_cleanliness";"review_scores_checkin";"review_scores_communication";"review_scores_location";"review_scores_value";"instant_bookable";"calculated_host_listings_count";"calculated_host_listings_count_entire_homes";"calculated_host_listings_count_private_rooms";"calculated_host_listings_count_shared_rooms";"reviews_per_month";"Dataset"
11282071;"https://www.airbnb.com/rooms/11282071";20210420194355;"2021-04-21";"Luxury Downtown Boston Apartment";"https://a0.muscache.com/pictures/bf641986-668e-4526-b104-0af99972657c.jpg";42767050;"https://www.airbnb.com/users/show/42767050";"2015-08-28";0.0;0.0;False;1.0;1.0;"['email', 'phone', 'google', 'reviews', 'kba']";True;True;"Downtown";42.35208;-71.06282;"Private room in apartment";"Private room";2;"1 bath";1.0;1.0;"[""Lock on bedroom door"", ""TV with standard cable"", ""Washer"", ""Air conditioning"", ""Kitchen"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Cable TV"", ""Heating"", ""First aid kit"", ""Smoke alarm"", ""Wifi"", ""Gym"", ""Long term stays allowed"", ""Pool"", ""Dryer"", ""Elevator""]";90.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;False;0;0;0;0;"2021-04-21";1;0;0;"2016-03-15";"2016-03-15";0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1;0;1;0;0.02;"Boston"
11313921;"https://www.airbnb.com/rooms/11313921";20210420194355;"2021-04-21";"Spacious room near Brigham Circle";"https://a0.muscache.com/pictures/bd6b1a5e-0cde-4952-9f7a-cc2c8b628413.jpg";59163294;"https://www.airbnb.com/users/show/59163294";"2016-02-17";0.0;0.0;False;1.0;1.0;"['email', 'phone']";True;False;"Mission Hill";42.32977;-71.103;"Private room in house";"Private room";1;"1 bath";1.0;1.0;"[""Lock on bedroom door"", ""Dedicated workspace"", ""Shampoo"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Carbon monoxide alarm"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Long term stays allowed"", ""Hangers"", ""TV"", ""Dryer""]";30.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;False;0;0;0;0;"2021-04-21";0;0;0;"1900-01-01";"1900-01-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1;0;1;0;0.0;"Boston"
11343485;"https://www.airbnb.com/rooms/11343485";20210420194355;"2021-04-22";"Beacon Hill Gem! Spacious One Bedroom";"https://a0.muscache.com/pictures/164bdcc3-a82d-4316-a926-c09a3aa397e1.jpg";4020046;"https://www.airbnb.com/users/show/4020046";"2012-10-31";0.0;0.0;False;4.0;4.0;"['email', 'phone', 'facebook', 'reviews', 'kba']";True;True;"Beacon Hill";42.35951;-71.06379;"Entire apartment";"Entire home/apt";3;"1 bath";1.0;2.0;"[""Dedicated workspace"", ""Shampoo"", ""Lockbox"", ""Air conditioning"", ""Essentials"", ""Fire extinguisher"", ""Kitchen"", ""Carbon monoxide alarm"", ""Hot water"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Long term stays allowed"", ""Hangers"", ""Luggage dropoff allowed""]";100.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;True;0;0;0;0;"2021-04-22";34;0;0;"2016-07-26";"2018-11-17";93.0;9.0;9.0;10.0;10.0;10.0;9.0;True;4;4;0;0;0.59;"Boston"
11357756;"https://www.airbnb.com/rooms/11357756";20210420194355;"2021-04-22";"BEST LOCATION IN THE CITY STUDIO W/ FAST WIFI";"https://a0.muscache.com/pictures/98a50b9b-0bf8-4edf-8374-241d5fe43521.jpg";56359408;"https://www.airbnb.com/users/show/56359408";"2016-01-27";55.0;78.0;False;5.0;5.0;"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']";True;True;"Downtown";42.35145;-71.06461;"Entire apartment";"Entire home/apt";3;"1 bath";0.0;2.0;"[""Dedicated workspace"", ""Shampoo"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Fire extinguisher"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cable TV"", ""Building staff"", ""Iron"", ""Heating"", ""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Dryer""]";139.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;True;30;60;90;180;"2021-04-22";44;0;0;"2016-10-25";"2019-11-10";80.0;9.0;9.0;10.0;9.0;10.0;8.0;False;5;5;0;0;0.8;"Boston"
11359638;"https://www.airbnb.com/rooms/11359638";20210420194355;"2021-04-22";"A Home in the Village";"https://a0.muscache.com/pictures/e6276c49-48df-4e02-aaab-91cd1ce5516d.jpg";11557910;"https://www.airbnb.com/users/show/11557910";"2014-01-22";14.0;0.0;False;12.0;12.0;"['email', 'phone', 'reviews', 'kba']";True;False;"Mission Hill";42.33103;-71.1188;"Entire house";"Entire home/apt";4;"2 baths";4.0;4.0;"[""Washer"", ""Fire extinguisher"", ""Indoor fireplace"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Paid parking off premises"", ""Shampoo"", ""Air conditioning"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Hangers"", ""Dryer"", ""Dedicated workspace"", ""TV with standard cable"", ""Kitchen"", ""Host greets you"", ""Smoke alarm""]";600.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;True;30;60;90;365;"2021-04-22";9;0;0;"2016-06-18";"2018-08-06";100.0;10.0;10.0;10.0;10.0;10.0;10.0;False;1;1;0;0;0.15;"Boston"
11370704;"https://www.airbnb.com/rooms/11370704";20210420194355;"2021-04-21";"Charming Modern Home in JP!";"https://a0.muscache.com/pictures/a33033f7-2833-4978-97b5-aff3989fd738.jpg";1263583;"https://www.airbnb.com/users/show/1263583";"2011-10-08";0.0;0.0;False;1.0;1.0;"['email', 'phone', 'facebook', 'reviews', 'kba']";True;True;"Jamaica Plain";42.30897;-71.10767;"Entire condominium";"Entire home/apt";6;"2 baths";2.0;2.0;"[""Washer"", ""Dishwasher"", ""Fire extinguisher"", ""Refrigerator"", ""Indoor fireplace"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""Microwave"", ""Lockbox"", ""Shampoo"", ""Air conditioning"", ""Backyard"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Free street parking"", ""Coffee maker"", ""Stove"", ""Oven"", ""Hangers"", ""BBQ grill"", ""Cooking basics"", ""Dryer"", ""Dedicated workspace"", ""Bed linens"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";149.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;True;0;0;0;0;"2021-04-21";8;0;0;"2016-03-22";"2019-10-15";97.0;10.0;9.0;10.0;10.0;10.0;10.0;False;1;1;0;0;0.13;"Boston"
11376403;"https://www.airbnb.com/rooms/11376403";20210420194355;"2021-04-21";"Roomy & Great Private Room with Airbed Near T!";"https://a0.muscache.com/pictures/03676617-e6c7-4888-be74-9b412937905a.jpg";16186589;"https://www.airbnb.com/users/show/16186589";"2014-05-30";100.0;25.0;True;25.0;25.0;"['email', 'phone', 'reviews']";True;False;"Dorchester";42.30372;-71.07226;"Private room in apartment";"Private room";1;"1 shared bath";1.0;1.0;"[""Refrigerator"", ""Patio or balcony"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Extra pillows and blankets"", ""Microwave"", ""Lock on bedroom door"", ""Air conditioning"", ""Hot water"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Free street parking"", ""Coffee maker"", ""Stove"", ""Oven"", ""Hangers"", ""Cooking basics"", ""Bed linens"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";33.0;30;190;30.0;30.0;190.0;190.0;30.0;190.0;True;0;19;49;324;"2021-04-21";11;0;0;"2016-04-07";"2019-09-24";93.0;9.0;8.0;9.0;9.0;8.0;9.0;False;25;4;21;0;0.18;"Boston"
11378662;"https://www.airbnb.com/rooms/11378662";20210420194355;"2021-04-21";"Chic Seaport Studio| Close to BCEC|Walk Everywhere";"https://a0.muscache.com/pictures/6ce816c7-5484-4b84-a203-fd66737973e8.jpg";3851718;"https://www.airbnb.com/users/show/3851718";"2012-10-12";100.0;100.0;True;1.0;1.0;"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']";True;True;"South Boston Waterfront";42.34864;-71.04869;"Entire condominium";"Entire home/apt";2;"1 bath";1.0;1.0;"[""Washer"", ""Dishwasher"", ""Refrigerator"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Lockbox"", ""Shampoo"", ""Lake access"", ""Air conditioning"", ""Hot water"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Oven"", ""Elevator"", ""Hangers"", ""Cooking basics"", ""Dryer"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";200.0;60;1125;60.0;60.0;1125.0;1125.0;60.0;1125.0;True;3;3;22;297;"2021-04-21";18;0;0;"2019-07-14";"2020-02-10";98.0;10.0;9.0;10.0;10.0;10.0;9.0;False;1;1;0;0;0.83;"Boston"
11462476;"https://www.airbnb.com/rooms/11462476";20210420194355;"2021-04-22";"Back Bay Near Fenway, Hynes, the T";"https://a0.muscache.com/pictures/330a2700-4d59-49a0-b738-b86170993e4e.jpg";1369968;"https://www.airbnb.com/users/show/1369968";"2011-11-04";80.0;100.0;False;2.0;2.0;"['email', 'phone', 'facebook', 'reviews', 'kba']";True;True;"Back Bay";42.34982;-71.09015;"Entire apartment";"Entire home/apt";2;"1 bath";1.0;0.0;"[""Dishwasher"", ""Refrigerator"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Paid parking off premises"", ""Microwave"", ""Keypad"", ""Shampoo"", ""Air conditioning"", ""Hot water"", ""Long term stays allowed"", ""Hair dryer"", ""TV"", ""Essentials"", ""Coffee maker"", ""Stove"", ""Oven"", ""Hangers"", ""Cooking basics"", ""Dedicated workspace"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";85.0;29;95;29.0;29.0;1125.0;1125.0;29.0;1125.0;True;0;0;20;110;"2021-04-22";152;4;0;"2016-03-09";"2021-02-28";89.0;9.0;9.0;9.0;8.0;10.0;9.0;True;2;2;0;0;2.44;"Boston"
11553697;"https://www.airbnb.com/rooms/11553697";20210420194355;"2021-04-21";"Sunny Comfortable Apt in JP";"https://a0.muscache.com/pictures/14ca33c3-40c1-4a8f-8165-cd1f97e0138e.jpg";5539314;"https://www.airbnb.com/users/show/5539314";"2013-03-19";0.0;0.0;False;1.0;1.0;"['email', 'phone', 'reviews', 'kba']";True;True;"Jamaica Plain";42.32184;-71.1134;"Entire apartment";"Entire home/apt";4;"1 bath";2.0;2.0;"[""TV with standard cable"", ""Kitchen"", ""Essentials"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Cable TV"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Free parking on premises"", ""Breakfast"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed""]";200.0;91;1125;91.0;91.0;1125.0;1125.0;91.0;1125.0;True;0;0;0;0;"2021-04-21";13;0;0;"2016-03-20";"2016-11-20";95.0;10.0;9.0;10.0;10.0;10.0;9.0;False;1;1;0;0;0.21;"Boston"
